customer_id,name,surname,address,zip_code,national_id,dob,,,,,
1, Adams,Ulysses,Ap #850-1023 A Avenue,12345-6789,1112225897,12/10/1985,,,,,
2,Alana,Burt,468-3679 Arcu Av.,12344-6790,1012225897,10/11/1990,,,,,
3,Pamela ,Adkin,2481 Quisque St.,12360-6791,1332225897,9/12/1960,,,,,
4,Miriam ,Townsend,680-6749 Maecenas Rd.,12245-6792,4914455897,8/13/1984,,,,,
5,Isaiah ,Villarreal,616-3619 Rhoncus. Street,12360-6793,1699225897,10/14/1974,,,,,
6,Zia Middleton,Middleton,616-3619 Rhoncus. Street,12370-6794,1014585897,11/15/1985,,,,,
7,Kasimir ,Gilliam,357-9387 Tristique St.,14445-6795,1116985897,15/16/1977,,,,,
8,Russell ,Erickson,"P.O. Box 813, 9837 Turpis Avenue",12345-6788,1019635897,16/17/1950,,,,,
9,Cullen ,Espinoza,459-1065 Quis Rd.,12355-7097,2112225897,10/18/1974,,,,,
10,Zahir,Noble,"6056 Vulputate, Avenue",11115-6780,6112225897,11/19/1962,,,,,
